Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage
85250,17711,2.1,1195,48.1,34.4,6.3,7.7,31.6,28.2,6.9,23.8,4.8,4.6,12.1,3.9,0.71,0.29
85251,40621,2.1,1107,37.4,46.5,9.7,4.6,22,20,5.2,17.4,3.1,3.5,9.2,2.1,0.49,0.51
85253,18509,4.7,2138,52.2,24.7,2.8,8.8,35.2,32.3,8.6,26.4,6.2,5.9,11.6,2.6,0.84,0.16
85254,45973,8.8,1602,44.4,34.5,6.2,7.6,25.6,22.2,6.3,18,4.3,2.7,7.3,1.9,0.71,0.29
85255,40401,5.7,2027,49.2,26.2,2.6,8,30.9,27.5,7.4,22.9,6.6,4.5,8.8,2.2,0.78,0.22
85256,5380,0.8,429,33.6,41.6,8.6,5.1,15.7,14.7,3.5,10.7,3.3,2.2,3.8,1.2,0.75,0.25
85257,31609,2.7,1036,37.3,47.6,10.3,4.9,22.6,20.9,4.9,17.7,3.9,3.3,8.9,2.5,0.57,0.43
85258,24549,3.9,1336,54.6,26.7,4.4,9.1,41.1,38.2,8.3,32.1,9.8,7.1,14,3.6,0.71,0.29
85259,23043,7.8,1559,48.3,31.2,3.7,7.2,26.4,23.5,7.6,19.2,4.8,3.7,6.9,1.7,0.77,0.23
85260,38337,5.3,1460,45.8,33.3,6.4,6.8,28.2,25.4,6.1,21.4,5.5,3.4,9.8,2.7,0.59,0.41
85262,10815,4,2238,59.6,15.3,1.3,13.7,49,43.1,16.3,35.3,10,5.9,8.9,1.6,0.9,0.1
85263,2531,0,1127,70.1,3.4,0,13.2,84,81.7,20.6,70.8,22.3,13.3,27.9,8.2,0.95,0.05
85264,1315,2.4,550,37.8,34.1,7.1,4.6,24,21.6,10.5,19.4,6.2,2,2.7,0.4,0.81,0.19
85266,12519,3.8,1959,58.2,16.9,1.5,11.5,47.4,42.4,11.9,35.9,9.6,6.8,14.4,5,0.94,0.06
85268,24288,2.4,1189,57.5,21.1,1.9,10.3,45.1,41.2,12.7,34.8,9.4,5.8,12.7,4.1,0.79,0.21
85281,62626,11.3,983,24.2,75.5,7.7,3,8.1,6.8,2.1,5.1,1,0.9,2,0.6,0.21,0.79
85282,52799,3.9,1010,31.6,52.1,9.4,4.8,18,15.7,4.2,13.2,3.1,2,5.9,1.5,0.43,0.57
85283,50536,6.6,1072,32.2,50.1,8.9,5.4,15.7,13.5,3.8,10.3,2.7,1.6,3.8,1.4,0.46,0.54
85284,18592,8.9,1664,43.3,35,5,7.3,21.7,18.9,7,14.5,3.7,1.9,3.7,0.9,0.83,0.17
85286,41807,15.5,1555,34,43.3,8.1,4.1,11.5,9.7,3,7.4,1.6,1.3,2.8,0.4,0.66,0.34
85295,43525,6,1497,31.6,46.9,9.3,3.5,9.8,8.2,2.4,6.3,1.8,0.8,2.1,0.8,0.63,0.37
85296,42506,4.3,1452,33.4,43.4,8.8,4.1,11.8,9.9,2.9,7.6,2,1.3,2.8,0.9,0.77,0.23
85297,32890,6.7,1618,31,44.1,8.3,3.4,8.4,6.8,2.3,5.1,1.2,0.3,1.5,0.9,0.73,0.27
85298,29113,7,1794,36.7,36.3,6.6,3.9,18,16.6,4.8,14.2,5.1,2.5,4.3,0.9,0.89,0.11
85301,67526,2.1,745,29.4,42.9,7.3,4.1,12.3,10.6,2.9,8.2,2.1,1.6,3.3,0.8,0.35,0.65
85302,39647,3.3,929,35.4,41.4,6.6,4.8,17.2,15,3.9,12.5,2.6,2,5.9,1.7,0.54,0.46
85303,31835,5.8,1046,30.5,45.9,7.1,4.4,11.8,10.3,3,7.4,1.8,1.7,2.5,0.4,0.59,0.41
85304,27365,6.1,1085,40.2,40,6.8,6.8,21.7,19.5,5.8,14.8,3.1,2.9,6,1.6,0.71,0.29
85305,12073,7,1204,34.4,47.9,8.6,7.1,14.2,11.2,2.5,7.1,3,0.7,1.6,0.6,0.54,0.46
85306,24503,2.3,1097,37.8,41.4,6.4,5.8,19.4,17.1,4.8,13.7,3.4,1.7,5.5,1.5,0.59,0.41
85307,9376,6.6,1051,31,45.3,8.3,6.8,15.9,14.2,4.6,9.1,2.2,1.3,2.3,0.4,0.42,0.58
85308,66295,5.1,1237,39.8,40.4,6.5,7.4,21.2,18.1,6.1,13.9,3.1,1.9,4.7,1.3,0.68,0.32
85310,19252,3.7,1421,40.7,37.5,6.1,7.2,18,14.7,4.7,10.8,2.2,2.3,3.9,0.8,0.84,0.16
85321,4776,2,397,42.8,30.1,6.2,6.9,34.3,32.4,7.8,27.4,7,5,12.6,4.7,0.66,0.34
85322,764,0.9,664,36.1,41.9,8.5,3.7,21.5,21.5,5.9,17.8,4.8,2.9,7.1,3.7,0.67,0.33
85323,42225,2,1050,29.6,47.1,7.3,3.8,10.6,9.2,2.5,6.7,1.5,1.4,2.7,0.8,0.51,0.49
85324,2892,0,594,56.8,25.8,2.4,11.5,41.5,35.3,11.9,30,9.5,2.8,8.6,2,0.82,0.18
85325,1087,0.5,360,69.1,7.9,2.5,9.8,70.7,70.1,11.2,60.8,18.8,22.4,30.8,5,0.97,0.03
85326,58276,1.1,1094,32.5,47.3,8.5,4,12.7,11.4,3.2,8.8,2.4,1.8,3.2,0.9,0.65,0.35
85331,29264,2.3,1701,48,27.7,3.3,8.5,28.5,25.3,7.8,20,4.9,3.4,7.3,1.9,0.86,0.14
85332,1548,0,535,63.8,20.7,6.1,9,57.2,53.2,9.6,48.2,21.1,12.5,17.6,1.5,0.88,0.12
85333,594,0,417,48.8,34.7,5.6,6.7,23.9,20.7,5.1,17.2,2.7,5.2,9.4,3.2,0.7,0.3
