Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage,Fy 2017 Sales,Fy 2018 Sales,FY 2019 Sales
75497,3585,0.3,813,56.8,25.6,5,9.4,43.8,40.7,11.5,34.4,12.9,5.9,9.9,1.5,0.85,0.15,28000,28000,27450
75501,35692,0.3,661,37.4,40.1,6.7,5.2,19.7,16.9,5.1,14.5,3.9,2.5,5.5,1.6,0.6,0.4,109450,257400,271000
75503,25916,2.2,953,38.4,36.8,6,6.6,22.5,20.4,4.9,16,3.5,2.4,7.6,1.9,0.64,0.36,299000,490300,399750
75550,838,0.1,452,49.2,34.4,1.4,5.6,32,28.8,12.6,26.4,6.8,5,6.9,0.5,0.8,0.2,3000,4000,4000
75551,10867,0,599,43.3,30.5,4.9,6.6,28.9,25.5,5.8,22.3,6.3,3.5,10.1,3.3,0.79,0.21,103000,165850,169600
75554,1805,0,553,47.2,32.4,3.8,8.5,30.6,28.4,8.5,22,5.5,3.7,8,2.3,0.9,0.1,13000,17600,11000
75556,1044,1.2,434,37.8,33.5,4.6,5.5,20.1,17.4,4.3,14.7,4.9,2.6,5.5,1.8,0.8,0.2,4000,3000,5000
75559,5316,1.1,507,47.1,29.6,3.7,5.8,32.1,30.1,6.7,26.3,5.8,8.1,13.8,3.2,0.8,0.2,44000,53850,39000
75560,715,0,573,50.9,33.7,4.9,9,30.5,28.5,9.1,21.5,7.4,2.8,5,2,0.86,0.14,22000,24650,32000
75561,5108,0.2,635,40.5,35.6,6,6.2,23.4,20.4,6,17.2,5.3,3.4,6,1.3,0.69,0.31,18000,30050,36750
75563,4410,2.4,512,46.7,31.5,4.6,8.2,29.9,26.3,8,21.8,4.7,4.5,9,3.1,0.71,0.29,55000,123400,102000
75567,5191,0.3,770,39.4,40.1,4.8,4.9,20,18.1,5.1,15.1,3.7,4.3,6.3,0.9,0.76,0.24,3000,2000,4750
75568,2271,0,548,40.2,31.5,8.1,5.9,26,24.6,4.8,20.1,7.1,2.3,8.3,1.9,0.69,0.31,11000,12000,18300
75569,3229,0,752,29.3,39.2,6.5,4.3,19.1,15.3,4.7,14.8,2.8,4.8,7.3,1.3,0.52,0.48,6000,27000,26000
75570,10969,1.4,589,38.3,49.4,8.9,4.6,17.1,15.1,4.2,12.5,3.1,2.3,5.3,1.1,0.7,0.3,58450,81650,110000
75571,3189,0,604,32.8,37.3,7.6,6.2,24.2,21,4.7,18,3.6,5.1,9.7,2.3,0.84,0.16,4000,8000,5000
75572,4285,0.2,477,38.1,45.8,3.8,3,20.7,19.1,4.3,17.7,6.4,2.3,7,2,0.76,0.24,22300,85850,104850
75601,16310,1,786,37.1,41.2,6.3,3.9,20.4,18.7,5.3,16.5,3.1,3,8,2.2,0.57,0.43,212000,301800,303300
75602,22112,0.6,692,31.3,43,6.7,4,13.2,11.3,3,9.2,2.2,2.2,4,1,0.59,0.41,245300,360900,375600
75603,5913,0.1,717,40.3,33.1,8.2,9.1,25.3,21.6,5.9,16.1,3,4.2,7.3,1.9,0.81,0.19,78000,121350,173750
75604,30565,1.4,835,33,40.2,6.3,5.6,18.4,16.2,4.1,12.8,3.5,2.2,5.2,1.4,0.54,0.46,337600,546450,846550
75605,30721,1.2,890,40.1,35.6,7.5,6.4,24.1,22,4.8,17.7,3.3,3.4,9.7,2.8,0.61,0.39,364100,568550,674300
75630,2238,0,517,60,16.4,2,18.6,50,41.2,7.2,31.4,9.3,5.9,14.9,5.4,0.89,0.11,9000,31850,10750
75631,3137,0.2,605,36.6,38.4,7.4,5.6,20.8,18.2,7.1,15.2,2.9,2.4,5.2,1.4,0.79,0.21,16000,16000,19000
75633,13779,1,634,38,37.5,5.9,8,24.9,20.9,4.7,16.9,4.1,4.1,8.1,1.8,0.75,0.25,130000,182600,191550
75638,5908,0.1,535,44.6,32.9,3.7,7,29.4,25.9,7.7,22.4,3.9,4.5,10.8,3,0.76,0.24,52000,84050,56950
75639,2790,0.2,402,45.6,33.8,2.3,7.1,28.6,26.9,4.8,21.5,6.7,5.3,10,4.2,0.78,0.22,0,0,0
75640,5020,0,701,38.2,34.5,6,5.3,17.8,15.8,3.7,12.5,3.4,1.7,5.5,1.2,0.8,0.2,12000,15000,6050
75644,12579,0.2,615,38.5,34.2,6.9,6.7,26.1,23,5.7,19.5,4,4.5,9.7,2.6,0.71,0.29,105000,154650,193850
75647,12459,0.6,826,43.3,34.5,4.8,8.1,23.9,20.3,5.5,15.8,4.7,2.4,5.7,1.4,0.7,0.3,72100,109500,292300
75650,8858,0.3,803,37.2,38.7,6.4,5.7,20.3,19.2,4.7,14.6,5.1,3,4.8,0.9,0.76,0.24,25000,32050,125000
75651,2192,0,623,40.3,34.6,11.7,6.1,10.9,8.4,2.2,4.8,2.2,0.4,0.4,0,0.96,0.04,8000,6000,9750
75652,17061,0.7,695,38.2,43.8,7.6,5.2,19,16.9,4.1,13.9,3.4,3,6.3,1.4,0.69,0.31,77000,84000,173700
75654,12299,0.8,649,35.8,36.8,6.1,5.4,22,19.7,4.9,16.6,4.2,3.1,7.5,2.3,0.78,0.22,76000,106000,177700
75656,4601,0,626,37.3,32.9,7.8,5.7,25.6,23.9,4.9,19.9,5,4.8,10,2,0.75,0.25,6000,24450,15000
75657,8139,0,536,45.8,31.6,5.5,5.9,29.1,26,9.6,23.2,5.1,3.8,8.6,2.8,0.75,0.25,125300,73100,52350
75661,3043,0,498,48.2,31.7,3.7,9.1,28.7,25.4,5.9,19.5,5.5,2.8,8.2,2.8,0.76,0.24,1000,3000,4000
75662,26009,2.4,768,35.1,41.3,6.3,4.9,19.5,17.3,5,14.5,2.9,3,6.7,2.2,0.69,0.31,338400,618250,594350
75668,2005,0.4,551,44.6,35.1,7.8,11.1,34.8,30.2,3.8,23.7,6.1,7.2,13.8,4.8,0.63,0.37,14150,20950,20300
75670,17537,0.2,566,33.5,39.9,6.1,5.5,20.9,18.2,4.9,15.5,3.9,2.6,6.6,1.9,0.63,0.37,124250,173300,227050
75672,16252,2.1,699,41,34.1,5.2,8,27.7,24.2,5.2,19.7,5.8,2.9,8.7,3.1,0.78,0.22,40000,66000,50900
75681,2299,0.1,416,52,24.1,4.3,12,39.2,33.3,11.9,27.2,5.7,3.5,9.7,2,0.85,0.15,22000,61850,78000
