Zip Code,Total population,Unemployment rate - Population 16 years and over,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75692,5078,11.5,49100,61000,65000
75693,6973,3.4,35000,66450,107350
75701,34876,6.1,301850,676700,801050
75702,28270,10,434300,695700,931050
75703,40868,4.5,362700,561100,695150
75704,9974,10.1,89000,159350,171250
75706,9793,5.1,174450,125600,186350
75707,14565,8.6,42000,82200,147000
75708,7709,8.1,100000,166350,173100
75709,5046,2.6,56000,127550,104000
75750,3695,6.8,22000,17000,27000
75751,16715,6.9,245100,331150,264850
75754,6506,4.8,38900,40850,46000
75755,5150,6.5,17000,13000,18800
75756,4873,6.5,21000,113900,86000
75757,12166,3.3,53100,69750,91000
75758,8100,4.8,171000,248800,278250
75760,2429,6.2,6000,22000,25000
75762,12986,2.9,91850,88800,80000
75763,6286,3,32000,58000,48700
75765,7751,12.6,12000,18750,33000
75766,26671,5.8,224000,356750,394200
75770,3364,3.7,5400,2000,1000
75771,21078,8.3,174000,245000,317750
75773,12927,4.8,60750,86500,143150
75778,3167,7,11000,41000,37050
75783,7559,9.5,95200,114900,138700
75785,10909,6.9,90000,138050,136500
75789,7501,8.3,28000,23700,28950
75790,4600,2.9,60000,103850,174600
75791,13268,6.2,86900,128000,146300
75792,2562,3,12000,16200,21650
75801,15615,4.2,363700,534100,415400
75803,22903,4.8,43000,89550,84500
75831,5746,4.8,85000,131800,138350
75833,3462,2.6,55000,58650,68850
75835,10924,5.4,142700,200700,177050
75839,5192,3.5,42000,46500,116650
75840,6950,1.2,86600,127750,181100
75844,6340,3.7,41000,56350,35450
75845,3208,16.9,10000,15000,27100
75846,2875,12.6,44000,68000,68000
75847,1783,3.6,7000,5000,10000
75851,4834,3.3,32800,37000,14900
75852,4889,3,4000,1000,2000
75855,2463,11.5,7000,11000,13000
75859,1657,12.8,7950,8000,14000
75860,6415,3.9,78250,100400,99500
75862,9863,8.6,104000,84050,82650
75901,31647,7.6,620450,826200,1029900
75904,33820,6,351000,485600,634950
75925,4099,6.4,30200,100000,146650
75929,1860,6.2,11000,32950,39750
75931,2189,10.6,6000,14000,15000
75935,13955,8.5,199000,301750,333150
75936,842,12.9,1000,10000,2000
75938,2686,6.3,14150,20850,18000
75939,4939,11.7,26850,33300,49200
75941,8974,7.2,52000,52800,48050
75944,1409,10.9,37000,54200,37000
75946,3209,6.9,28000,17000,14750
75948,6037,8.3,145000,151450,104650
75949,7376,12.5,75000,70250,58600
75951,16072,10.5,203550,311700,362250
75954,3079,2.9,40000,43000,62100
75956,8533,7.3,29000,97350,172200
75961,15484,8.3,228400,377550,351350
75964,19086,7.9,95000,160500,251200
75965,18811,8.1,135000,246400,285400
75966,5287,5.8,97000,135600,106800
75968,1883,8.4,5000,5000,5000
75969,3726,10.5,26000,38000,35000
75972,6040,13,58850,134850,165900
75974,3245,6.9,13000,21800,45250
75975,3727,10,17000,29000,33400
75976,806,20.5,19000,22000,15000
75979,12384,11.6,73000,122000,111750
75980,2500,17.4,44000,29000,49000
76001,31829,4.8,39000,43700,78750
76002,36569,3.5,141000,263800,289750
76006,23259,5.8,181000,247950,321300
76008,16334,3.7,44000,56400,45850
76009,21049,5.3,154700,323950,415200
76010,57813,8.4,321400,504300,574700
76011,22953,7.6,188700,296050,367100
76012,26571,5.4,185000,302200,399600
76013,33169,5.9,192400,310250,369300
76014,35235,6.2,191250,338550,444000
76015,16464,3.2,250200,432650,587900
76016,30808,3.6,265000,384850,407250
76017,47010,3.8,477150,667050,867700
76018,31416,6.1,320800,558350,567100
76020,27714,5.9,238000,430850,437100
76021,35903,5.4,648750,517150,494550
76022,13059,5,50650,100150,112750
76023,5930,4.2,67000,102000,94600
76028,67388,4.6,548300,1050300,1203400
76031,18050,4.8,209750,267300,324000
76033,25190,5.5,353400,553950,769200
76034,25557,3.3,145000,154000,136000
76035,1466,7,43000,39000,56000
76036,25736,6.2,294500,530250,657900
76039,33750,4.1,366050,490550,565050
76040,32301,4.7,217850,258100,303450
76043,7509,2.8,291000,234600,431200
76044,3799,6.4,38300,37950,46350
76048,23702,4.1,270000,353300,436950
76049,27889,2.2,370100,564000,704600
76050,5747,7,36000,29000,25000
76051,51685,3.6,423250,543100,725900
76052,20779,4.8,70000,67000,99000
76053,30567,7.3,157050,275150,461650
76054,11948,2.5,132000,170750,186050
76055,2643,4.3,30000,82000,103450
76058,18068,5.4,132850,175150,208800
76060,7638,4.9,60000,81550,96050
76063,69146,4.1,448000,877150,1300400
76064,1790,6.4,13000,33000,26000
76065,34291,3.8,344100,502500,750550
76066,3193,9.5,13400,15000,23000
76067,20561,9.4,223900,375950,532700
76071,4069,8.6,6000,2550,10000
76073,6155,7.9,12000,17000,7000
76078,10366,4.7,118200,159000,168750
76082,18030,5.8,157400,270150,402850
76084,8456,3.3,71550,107000,102000
76085,10747,5.1,17000,34000,44700
76086,22311,4.8,556400,709050,673650
76087,26889,4.1,193800,217200,217600
76088,11854,7.3,47000,55300,97500
76092,30138,3.1,248600,299450,278950
76093,1680,6,63950,31000,28000
76102,9803,10,93000,93000,149000
76103,13689,5.3,46000,62650,147800
76104,18199,9.3,64550,57000,84600
76105,21661,7.4,46950,98850,91100
76106,39218,6.4,271200,476200,636800
76107,30110,3.5,182500,310200,360000
76108,41418,4.9,426500,566350,566250
76109,22448,3.5,84000,108000,216250
76110,31118,4.8,223000,276500,293300
76111,22456,6.8,200350,284000,332700
76112,41448,7.4,233500,246050,410050
76114,25647,7.6,176400,323000,416450
76115,20485,6.6,170400,247250,231450
76116,49789,7.2,365000,553650,654150
76117,31298,8.1,167950,256000,246650
76118,16318,3.8,64850,113350,103300
76119,48380,7.8,169450,227750,331300
76120,19041,9.5,89100,99400,109000
76123,32131,4.6,21000,43150,64000
76126,21355,3.7,271350,414850,439800
76131,37868,5.4,232500,371550,468500
76132,26405,4.3,102300,177600,232650
76133,51022,7.9,338150,543850,606650
76134,26581,8,200000,331150,282950
76135,23845,5,210650,278050,351150
76137,60065,5.5,365000,522500,660850
76140,30643,6.2,411150,403700,401600
76148,23819,4.9,345900,381050,516200
76155,5289,2.7,29000,28950,24000
76164,16091,7.1,101850,149500,272300
76177,7907,4.1,93000,122000,144400
76179,57204,5.4,281100,441600,676550
76180,36385,5.9,406450,523050,561000
76182,31227,4.5,52000,119250,213500
76201,28038,9.2,167650,228800,286300
76205,20992,8.7,208000,265950,332050
76207,14221,4.5,139050,182250,222750
76208,23463,5.7,44000,68000,65000
76209,24667,5.3,72000,96550,99000
76210,44044,3.8,94000,124000,168200
76225,3313,6,44000,54000,47000
76226,25037,2.4,85000,134450,101500
76227,29616,3.6,239600,329450,441400
76228,1027,6.4,11000,26750,10000
76230,9538,6.6,188500,241000,170900
76233,3490,1.9,30000,46000,40000
76234,15341,5.6,153550,246600,261700
76238,400,3.7,46000,19000,11000
76240,27123,4.8,169100,373750,495350
76244,74414,3.5,230000,316900,368000
76245,1869,9.3,3000,4000,2000
76247,14009,6,41650,71000,78000
76248,39131,3.4,500850,599600,610700
76249,8516,4.1,91000,121700,86000
76252,2622,2.9,44000,54000,19600
76255,5369,10.2,97850,111000,34800
76258,6820,9.1,33000,44000,71350
76259,4890,6.8,8000,8000,21000
76262,34422,2.7,330000,494350,440900
76265,1806,2.9,8900,5150,4000
76266,15439,4,96000,156000,274950
76270,1797,0,6000,9000,7000
76271,1626,12.6,27000,25750,22000
76272,4256,10.7,52000,61000,77250
76273,9245,3.3,31000,53000,63000
76301,15632,8.3,30400,64800,49000
76302,13725,5.3,150100,241750,240700
76305,4264,6.3,9000,16000,30000
76306,15099,5.7,94450,142850,259000
76308,19361,3.8,70000,146150,170950
76309,12939,5,65000,62000,72000
76310,17720,2.5,72950,66000,80000
76351,1853,1.2,12000,14000,37000
76354,12085,4.6,67000,73450,99250
76360,3561,7,34400,19550,24750
76364,143,5.8,8000,11000,14000
76365,4395,10.7,22100,20350,33100
76366,2102,2.2,7000,95000,113000
76367,14963,1.9,12700,15000,46000
76371,1557,4.3,10000,11000,8850
76372,1409,0.7,36500,31000,40000
76374,3917,2.7,39000,64000,69000
76380,3633,2.3,37000,55000,73000
76384,12385,5.9,82850,174400,274400
76401,29478,3.6,228600,481550,473050
76424,8794,5.1,78200,116350,95700
