Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75068,33.2,9.4,4.3,6.2,47.7,71.5,5.8,68.5,4,65.4,6.6,9.8,10.8,10.3,6.4,18.8,9.5,4.6,4.4,3.5,9.8,8.5,3,6.3,1.4,0.8,1.8,0.6,0.4,31.5,8.3,55848,163000,323000,630000
75069,36.4,7.2,4.5,7.2,39.7,77.3,9,74.6,6.3,71.2,7.4,6.6,6.2,5.9,7.6,15,7.8,5.6,5.8,3.9,20.4,18.8,4.4,16.4,3.3,3.6,8.8,3,2.1,25.4,5.9,36879,324350,532250,614500
75070,36.2,8.5,4.4,6.9,41.1,73.5,7.2,70.6,4.6,67.3,4.5,7.1,8.7,9.4,7.9,17.2,8.7,7.5,4.9,4.6,13.6,11.8,3.1,9,2.7,1.7,3.2,1,0.6,29.4,7.8,93299,390100,842700,655100
75071,34.8,8.1,5.3,7.6,44.3,73.3,7.3,69.7,5,66.6,5.4,7.4,9.8,9,7.6,17.2,9.1,5.7,5,4.1,12.5,11.1,3.5,8.5,1.8,1.2,3.2,0.9,1.1,30.3,7.8,49846,201000,202150,240000
75074,33.8,7.7,4.3,7.1,45.5,77.3,10.1,74.4,7.3,70.1,8.3,7.9,6.7,8.2,5.7,14.8,7.1,6.3,6.5,4.8,14.5,12.1,3.6,9.7,2.4,2,3.7,0.9,0.8,25.6,6.6,48977,494150,901600,899600
75075,41.9,4.7,4.6,6.6,38.1,83.1,9.4,80,7.5,76.8,5.4,6.6,6,6.1,6.8,10.1,5.4,7.2,6.7,6.7,25.8,23.3,6.9,19.1,4.6,3.5,7.6,2.1,2,20,5.2,35933,219000,292950,313300
75076,50.2,7.8,3.6,5.7,27.3,81.2,5.3,79.3,3.2,76.7,4.2,4.8,4.6,4.8,5.4,12.6,4.9,7.8,9.4,8.5,33,29.3,8.2,24.5,8.9,4.6,7.3,1.9,0.9,20.7,4.4,7244,42000,97500,69900
75077,42.1,7.7,4.5,6.7,35.7,78.6,7.2,75.9,5,73,4.5,5.2,6.3,8,9.5,14.2,6.5,9.7,8.5,4.8,17,14.8,4.5,12.3,3.4,2.1,4.4,0.9,1.4,24.1,5.3,36181,256550,301000,350800
75078,34.4,10.7,6.1,8.1,41.1,68,5.4,64.4,3.4,61.3,3.9,5.9,9.4,10.4,8.9,21.6,10.9,6.3,4.3,3.6,9.9,8.5,3,6.3,2.2,0.6,1.2,0.2,0.4,35.6,8,20611,96000,208550,279500
75080,34.8,6.1,3.5,6.9,43.8,79.7,12.2,77.1,8.7,71.7,7.8,7.3,7.2,5.8,5.9,12.7,6.6,5.8,4.8,4.8,20.2,17.8,4.2,15.4,3.5,2.6,7.7,2.2,2.9,22.9,6.7,50247,429750,656750,704150
