Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75766,660,0.702083549,0.297916451,26671,224000,356750,394200
75770,603,0.838709677,0.161290323,3364,5400,2000,1000
75771,855,0.778409091,0.221590909,21078,174000,245000,317750
75773,758,0.761694058,0.238305942,12927,60750,86500,143150
75778,544,0.800159872,0.199840128,3167,11000,41000,37050
75783,728,0.813379074,0.186620926,7559,95200,114900,138700
75785,608,0.769853628,0.230146372,10909,90000,138050,136500
75789,753,0.821350763,0.178649237,7501,28000,23700,28950
75790,675,0.738796415,0.261203585,4600,60000,103850,174600
75791,1024,0.767042987,0.232957013,13268,86900,128000,146300
75792,669,0.644605621,0.355394379,2562,12000,16200,21650
75801,694,0.605020045,0.394979955,15615,363700,534100,415400
75803,707,0.74044817,0.25955183,22903,43000,89550,84500
75831,523,0.766886745,0.233113255,5746,85000,131800,138350
75833,490,0.78085443,0.21914557,3462,55000,58650,68850
75835,610,0.607964602,0.392035398,10924,142700,200700,177050
75839,586,0.831516353,0.168483647,5192,42000,46500,116650
75840,642,0.749058026,0.250941974,6950,86600,127750,181100
75844,555,0.775908222,0.224091778,6340,41000,56350,35450
75845,468,0.760302775,0.239697225,3208,10000,15000,27100
75846,483,0.712037037,0.287962963,2875,44000,68000,68000
75847,456,0.755944931,0.244055069,1783,7000,5000,10000
75851,570,0.841288783,0.158711217,4834,32800,37000,14900
75852,692,0.721518987,0.278481013,4889,4000,1000,2000
75855,442,0.827586207,0.172413793,2463,7000,11000,13000
75859,565,0.847184987,0.152815013,1657,7950,8000,14000
75860,615,0.747804878,0.252195122,6415,78250,100400,99500
75862,531,0.787264151,0.212735849,9863,104000,84050,82650
75901,758,0.650281287,0.349718713,31647,620450,826200,1029900
75904,756,0.588968401,0.411031599,33820,351000,485600,634950
75925,621,0.69682959,0.30317041,4099,30200,100000,146650
75929,391,0.840816327,0.159183673,1860,11000,32950,39750
75931,572,0.893138358,0.106861642,2189,6000,14000,15000
75935,533,0.668857847,0.331142153,13955,199000,301750,333150
75936,435,0.80781759,0.19218241,842,1000,10000,2000
75938,480,0.84141791,0.15858209,2686,14150,20850,18000
75939,431,0.670698186,0.329301814,4939,26850,33300,49200
75941,512,0.750375375,0.249624625,8974,52000,52800,48050
75944,452,0.903339192,0.096660808,1409,37000,54200,37000
75946,604,0.630503145,0.369496855,3209,28000,17000,14750
75948,447,0.888547609,0.111452391,6037,145000,151450,104650
75949,618,0.818149466,0.181850534,7376,75000,70250,58600
75951,607,0.675644028,0.324355972,16072,203550,311700,362250
75954,567,0.779946761,0.220053239,3079,40000,43000,62100
75956,454,0.751120303,0.248879697,8533,29000,97350,172200
75961,759,0.483982257,0.516017743,15484,228400,377550,351350
75964,617,0.601178782,0.398821218,19086,95000,160500,251200
75965,782,0.489411459,0.510588541,18811,135000,246400,285400
75966,488,0.810453762,0.189546238,5287,97000,135600,106800
75968,441,0.797583082,0.202416918,1883,5000,5000,5000
75969,599,0.850619195,0.149380805,3726,26000,38000,35000
75972,441,0.78043382,0.21956618,6040,58850,134850,165900
75974,452,0.722966935,0.277033065,3245,13000,21800,45250
75975,434,0.715869716,0.284130284,3727,17000,29000,33400
75976,465,0.557491289,0.442508711,806,19000,22000,15000
75979,548,0.80965076,0.19034924,12384,73000,122000,111750
75980,376,0.734406439,0.265593561,2500,44000,29000,49000
76001,1390,0.827834738,0.172165262,31829,39000,43700,78750
76002,1523,0.853972799,0.146027201,36569,141000,263800,289750
76006,927,0.257137883,0.742862117,23259,181000,247950,321300
76008,1742,0.882236249,0.117763751,16334,44000,56400,45850
76009,872,0.788321168,0.211678832,21049,154700,323950,415200
76010,826,0.327227358,0.672772642,57813,321400,504300,574700
76011,826,0.209494001,0.790505999,22953,188700,296050,367100
76012,984,0.625862409,0.374137591,26571,185000,302200,399600
76013,912,0.513572286,0.486427714,33169,192400,310250,369300
76014,1042,0.520123839,0.479876161,35235,191250,338550,444000
76015,1002,0.507794048,0.492205952,16464,250200,432650,587900
76016,1314,0.808749448,0.191250552,30808,265000,384850,407250
76017,1147,0.669068541,0.330931459,47010,477150,667050,867700
76018,1203,0.698487108,0.301512892,31416,320800,558350,567100
76020,904,0.744190685,0.255809315,27714,238000,430850,437100
76021,1098,0.558104673,0.441895327,35903,648750,517150,494550
76022,1092,0.521928235,0.478071765,13059,50650,100150,112750
76023,863,0.715882627,0.284117373,5930,67000,102000,94600
76028,1191,0.780190991,0.219809009,67388,548300,1050300,1203400
76031,727,0.732440919,0.267559081,18050,209750,267300,324000
76033,881,0.605493801,0.394506199,25190,353400,553950,769200
