Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income(all),Median income(full time),Native Hawaiian and Other Pacific Islander percent,Total population,White percent,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75214,0.4,2.7,5.2,52.1,17.6,47.9,56041,71997,0,34145,88.6,105000,117950,143300
75215,0.1,0.2,70.8,51.6,21.1,48.4,23217,28985,0.1,15664,26.5,115000,226750,213900
75216,0.2,0,57.1,52.4,40,47.6,21112,28759,0.1,52895,37.7,201950,307800,354450
75217,0,0.2,25.4,52.1,68.2,47.9,24118,27385,0,85249,69.6,280900,387350,458350
75218,0.1,1.4,7,53,24.3,47,47441,55721,0.1,22264,87.8,146650,229950,247600
75219,0.3,9.1,6.3,47.1,24.6,52.9,51264,57140,0,23277,75.6,130800,181000,175700
75220,0.3,0.8,3.5,46.6,57.7,53.4,23573,27677,0,42642,89.6,603700,726750,822900
75223,0.6,0.8,10.3,47.9,70.6,52.1,25483,30823,0,14351,81.1,217250,273800,307100
75224,0.1,1.4,25.7,51.1,64.3,48.9,22390,30257,0,36468,66.1,50000,79300,80900
75225,0.1,3.7,0.2,54.3,4.3,45.7,103712,153566,0,21568,94.2,84000,119000,148600
75226,0.8,1,21.5,48.6,35.4,51.4,33278,44077,0,4790,73.5,37000,64000,102000
75227,0.2,0.7,27.3,51.2,63.3,48.8,26197,31453,0,57806,66.4,118050,168300,182050
75228,0.1,2.2,19.6,50.1,54.1,49.9,25490,31750,0.1,74605,55.4,182600,244400,296800
75229,0.6,2.7,3,48.6,33.9,51.4,35699,51112,0,32390,90.1,124900,213450,318200
75230,0.1,4,9.7,52.4,11.2,47.6,45891,61570,0,27521,82.9,131000,171300,121900
75231,0.1,8.5,25,48,35.6,52,24566,31495,0,40464,53.8,263750,365150,339850
75232,0.2,0.2,63.2,52.5,29.4,47.5,25249,31904,0.1,30714,32.1,270750,371600,411600
75233,0.3,0.2,31.2,52,58.1,48,25783,30521,0,16318,56.1,13000,30000,37000
75234,0.6,5.8,4.1,51.2,50.3,48.8,30902,40904,0,32589,71.4,352650,594200,799500
75235,0,6.9,14.3,45.6,48.1,54.4,27401,37201,0,18794,69.3,124000,163050,228000
75236,1,4.2,43.5,51.4,42.6,48.6,30161,34625,0,18542,43.4,56450,116800,110000
75237,0.1,1.1,79.2,57.8,17,42.2,23071,30587,0,20295,13.6,82600,95900,123450
75238,0.5,5.9,16.4,49.8,26.9,50.2,37149,51339,0.1,33009,69.8,145000,413800,429300
75240,0.2,5.2,9.9,46.5,59.5,53.5,25237,30279,0,27875,27.9,164000,261900,275150
75241,0.1,0,78.2,55.6,19.1,44.4,25534,31618,0,29398,18.1,110000,172800,177900
75243,0.2,6.3,43.8,50.2,24.4,49.8,25598,32778,0.2,67445,42.8,239200,278800,356750
75244,0.1,6,8.5,51.8,23,48.2,50938,61377,0,13613,68.5,269000,250000,184000
75246,0,1.8,27.8,48,36.8,52,26071,36809,0,2276,66.4,33700,46100,62350
75248,0.2,5.6,8.7,51.4,18.7,48.6,48686,63794,0,35464,66.5,160250,200400,213000
75249,0.4,3.7,49.1,52.8,37.4,47.2,31938,38039,0,16100,35.9,6000,12000,12650
75251,0,9.7,13.9,59,12.5,41,42125,52460,0,2368,75.1,42000,45000,64900
75252,0.2,19.1,11.4,49.7,15.7,50.3,40663,61713,0.2,26493,54.7,163650,229600,255850
75253,1.6,0,11.9,49.1,66.9,50.9,25477,29796,0,22721,75.4,71000,139150,145550
75254,0.1,4.4,20.1,52.3,42.2,47.7,31383,38787,0.1,26602,38,135000,196500,294700
75287,0.1,6.7,27.9,54.3,19.1,45.7,36820,43905,0.1,53903,51,312150,421100,351000
75401,0.7,0.7,15.7,53.6,31.5,46.4,21972,31253,0,18830,56,82800,132500,141200
75402,0.5,0.9,6.4,46.5,10.8,53.5,35886,50129,0.1,16931,85.7,276000,347450,328000
75407,0.4,1.2,7.8,51.2,26.3,48.8,33676,42360,0,16367,87.7,96350,138000,186000
75409,0.7,3.5,6.7,53.8,12.3,46.2,41350,51207,0,14010,86.7,99000,136950,112250
75414,2.6,1.7,1.6,54.1,6.7,45.9,35640,48086,0,3184,91,12000,29000,39000
75418,0.6,0.8,9.1,42.8,13.6,57.2,24355,37447,0.1,14318,83.7,137000,233250,226300
75422,0,1.3,0.2,50.2,12,49.8,26894,55750,0,2946,88.7,6000,14000,8000
75423,0.6,0.3,4,48.8,10.2,51.2,36127,45603,0,2749,91.9,9000,13000,18000
75424,0.6,0.6,0.2,50.6,9.6,49.4,40357,48261,0,3765,96.4,8000,16000,19000
75426,0.4,0,35.6,53.5,8.2,46.5,24928,31713,0,4953,63.4,11000,31050,63000
75428,2.9,6,20.5,52.3,11.4,47.7,13549,40660,0,10802,64.5,54650,99600,70900
75432,0.1,0.7,11.5,53.3,5.8,46.7,22384,31214,0,3519,85.1,14000,110000,100000
75433,0.1,0.1,0.1,51.8,6.8,48.2,35837,41782,0,2752,97,18000,13000,12000
75435,0.4,0,1.7,49.6,11.3,50.4,25667,27123,0,1374,93.5,2250,2000,2000
75440,0.1,0,1.4,51.2,8.5,48.8,38500,44221,0,6201,91.5,68650,137550,115300
75442,0.3,0.6,5.3,48.2,17.8,51.8,34188,42018,0.2,9848,89,66500,139900,90000
75446,0.3,0.4,15.7,49.2,10.8,50.8,26470,36458,0,3553,81.2,5000,4000,7000
75449,0.3,1.7,17.3,48.7,12.3,51.3,23929,37708,0,1484,69.1,2000,17000,11000
75452,0.2,0,2.6,53.9,7.8,46.1,31950,45550,0,4306,93.4,13000,22600,26250
75453,0.9,0,1.3,49.6,8.4,50.4,31434,40929,0,3102,88.9,6000,15000,17450
75454,0,4.8,7.4,56.8,15.7,43.2,46758,68611,0,8807,84.4,60500,91800,100950
75455,0.8,0.9,9.4,50.8,43.1,49.2,26114,32271,0,28560,72.4,274700,602250,513750
75457,0.1,0.1,7.8,51.6,6.8,48.4,26678,35330,0.2,6131,86.1,58900,77800,85150
75459,0.7,3.7,0.1,49,9.6,51,31937,41770,0,5207,91.1,45000,66400,48000
75460,0.5,1.3,22.7,53.1,8.8,46.9,21977,30194,0.4,22226,69.5,188400,406350,394100
75462,0,1.3,3.7,53.6,3.4,46.4,35469,45015,0.8,11691,89,124550,145650,134000
75472,2,0.2,2.2,45.2,7.8,54.8,24851,35441,0,3931,88.2,30000,30850,18100
75473,0.3,0,0.7,49.3,13.3,50.7,31211,41023,0,3879,93.7,6000,1000,9000
75474,1.1,0.5,1,51.5,11.6,48.5,25373,40293,0,15047,87.8,127000,187050,273000
75479,0.5,0,0.4,51,3.3,49,32868,38370,0,1859,93.8,6000,22000,16000
75482,0.3,0.9,8.9,52,15.9,48,25957,34816,0.1,24802,81.8,219500,456000,477600
75489,0,0.6,1.2,48.7,4.8,51.3,41356,52222,0.4,1061,93.7,2750,4000,6000
75490,0.5,1.2,5,50.5,11.1,49.5,35026,45909,0,2399,88.9,16000,21000,30000
75491,0.7,0.1,7.4,57.8,4.9,42.2,27252,42807,0.7,5646,86.4,30000,30500,30000
75494,0,0.1,4.4,45.8,12.8,54.2,26545,35625,0,9931,89.4,50000,74100,65900
75495,0.6,0.2,2.9,52.2,8.9,47.8,40915,51972,0,7797,93.3,45000,65000,77000
75496,0.4,0.3,7.4,49.7,3.4,50.3,32014,41763,0,3436,89.3,30000,29000,35000
75497,0,0.3,0.4,47.1,16.7,52.9,28832,35291,0,3585,98.6,28000,28000,27450
75501,0.8,0.3,38.2,50.2,7.8,49.8,25990,32203,0.1,35692,56.3,109450,257400,271000
75503,0.5,2.2,18.8,52.2,5,47.8,32432,48200,0,25916,74.9,299000,490300,399750
75550,0,0.1,23.3,46.7,17.8,53.3,24750,29306,0,838,66.6,3000,4000,4000
75551,0.2,0,18.2,52.8,4.2,47.2,32393,37482,0,10867,78.9,103000,165850,169600
75554,0.1,0,0.2,54.5,3.9,45.5,35625,44625,0,1805,94.5,13000,17600,11000
75556,0,1.2,6.9,46.7,1.7,53.3,34028,38750,0,1044,90.7,4000,3000,5000
75559,1.9,1.1,11.8,54.9,9.3,45.1,28634,39531,0,5316,82.7,44000,53850,39000
75560,0,0,22,49.5,0,50.5,32188,40146,0,715,78,22000,24650,32000
75561,0.5,0.2,11.6,52.4,6.2,47.6,30193,36979,0,5108,85.7,18000,30050,36750
75563,0,2.4,14.3,51.9,4.8,48.1,24692,30968,0,4410,81.8,55000,123400,102000
75567,2.1,0.3,4.1,49.4,0.8,50.6,30609,40419,0,5191,91.4,3000,2000,4750
75568,0.2,0,17.8,47.4,2.5,52.6,30743,35962,0,2271,79.3,11000,12000,18300
75569,0.8,0,17.8,41.6,23.2,58.4,26796,30818,0,3229,77.4,6000,27000,26000
75570,1.2,1.4,20.5,39.3,11,60.7,29429,40259,0.1,10969,66.5,58450,81650,110000
75571,0,0,16.6,51.2,2.5,48.8,35600,36969,0,3189,80.6,4000,8000,5000
75572,0,0.2,25.9,49.9,0.6,50.1,28048,31352,0.3,4285,71.8,22300,85850,104850
75601,0.3,1,20.8,50.9,19,49.1,27876,40640,0,16310,75.9,212000,301800,303300
75602,0.5,0.6,36.4,48.9,29.3,51.1,21985,31146,0,22112,56.8,245300,360900,375600
75603,0.1,0.1,27.6,50.4,14,49.6,30234,49597,0,5913,70.9,78000,121350,173750
75604,0.2,1.4,15.8,50.6,20.3,49.4,24818,37046,0.2,30565,76.1,337600,546450,846550
75605,0.5,1.2,14.4,53.2,8.5,46.8,36063,48891,0,30721,81.4,364100,568550,674300
75630,0,0,11.4,48,3.5,52,34500,44178,0,2238,87,9000,31850,10750
75631,0,0.2,9.5,49.2,13,50.8,36705,50556,0.3,3137,88.9,16000,16000,19000
75633,0.1,1,19.6,50.5,9,49.5,30549,41080,0,13779,76.9,130000,182600,191550
75638,0.5,0.1,32.9,52.7,13.8,47.3,25540,34750,0.1,5908,57,52000,84050,56950
75640,0,0,1.9,42.6,1.5,57.4,37490,48950,0,5020,96.4,12000,15000,6050
75644,0.6,0.2,13.5,50.7,12.5,49.3,26457,34038,0,12579,78.8,105000,154650,193850
75647,0.4,0.6,16.5,52.4,5.2,47.6,27743,41087,0,12459,79,72100,109500,292300
75650,0.7,0.3,3.4,51.8,2.4,48.2,40332,50551,0,8858,94.7,25000,32050,125000
75651,0,0,15.1,48.9,1.2,51.1,29304,35865,0,2192,83.4,8000,6000,9750
75652,0.1,0.7,22,41.7,17,58.3,21809,36716,0,17061,74.1,77000,84000,173700
75654,0.3,0.8,13.4,54.5,18.7,45.5,30355,38984,0,12299,81.5,76000,106000,177700
75656,0.1,0,9.8,51.1,9,48.9,27622,36628,0,4601,79.5,6000,24450,15000
75657,0.4,0,25.2,52.1,5.2,47.9,27271,35217,0.2,8139,69.7,125300,73100,52350
75661,0.9,0,26.1,43.4,12,56.6,22421,45125,0.9,3043,64.1,1000,3000,4000
75662,0.2,2.4,12.3,49.4,18.7,50.6,27484,40169,0,26009,81.5,338400,618250,594350
75668,0.8,0.4,22.1,58.1,9.3,41.9,23846,33750,0,2005,70.1,14150,20950,20300
75670,0.2,0.2,42.6,53,22.8,47,25388,35658,0,17537,51.6,124250,173300,227050
75672,0.1,2.1,19.9,51.8,10.1,48.2,33519,41351,0,16252,74.3,40000,66000,50900
75681,0.6,0.1,17.1,48.7,3.5,51.3,25964,41192,0,2299,80.4,22000,61850,78000
75683,3.8,0,6,49.4,9.3,50.6,27173,34541,0,3811,84.5,34000,66000,47450
75684,0.7,0.2,15.8,47.1,15.7,52.9,26279,35968,0,7750,81.1,35900,44000,73250
75686,0.4,0.4,16.7,51.4,23.8,48.6,27113,37530,0,13047,71.1,54050,79000,129100
75691,0,0,15,47.6,28.3,52.4,33467,51948,0,3006,81.3,28000,40300,70850
75692,0.5,0,19.5,49.9,14.6,50.1,21071,39081,0,5078,75.6,49100,61000,65000
75693,0.8,0.3,4.1,52.5,7.3,47.5,33438,46234,0,6973,93.5,35000,66450,107350
75701,0.3,1.7,21.7,55.7,18.4,44.3,25526,36037,0,34876,72.4,301850,676700,801050
75702,0.4,0.2,39.7,49.2,48.6,50.8,19659,26441,0,28270,52.2,434300,695700,931050
75703,0.3,3.9,15.3,51.8,8.5,48.2,36452,44521,0.5,40868,77.1,362700,561100,695150
75704,0,0.5,18.2,54.1,38.6,45.9,21323,33618,0,9974,80.4,89000,159350,171250
75706,0,0.4,23.5,48.2,28.7,51.8,21934,34421,0,9793,70.5,174450,125600,186350
75707,0,2.3,7.7,54.4,13.5,45.6,29007,45882,0,14565,88.6,42000,82200,147000
75708,0.8,0.1,14.1,49.6,48,50.4,21511,29970,0,7709,83.5,100000,166350,173100
75709,0.8,4.8,26.9,55.6,10.9,44.4,30010,39863,0,5046,62.4,56000,127550,104000
75750,0.6,0,12.4,52.9,2.3,47.1,36400,43347,0,3695,85.4,22000,17000,27000
75751,0.8,2,12.7,51.8,21.6,48.2,22871,35152,0,16715,82.1,245100,331150,264850
75754,0,0,2.3,46.5,16,53.5,31130,38700,0,6506,96.8,38900,40850,46000
75755,0,0,10.4,53.3,2.5,46.7,30087,38806,0,5150,88.1,17000,13000,18800
75756,2.4,0,1.5,51.7,19.2,48.3,32362,41807,0,4873,92.7,21000,113900,86000
75757,0.3,0,6.8,48.4,7.1,51.6,31447,46612,0,12166,89.8,53100,69750,91000
75758,0.3,0.7,6,48.9,3.7,51.1,31474,41690,0,8100,92,171000,248800,278250
75760,2.4,0,9.9,50.3,3,49.7,32399,40027,0,2429,86.7,6000,22000,25000
75762,0.7,0.9,8.7,50.2,6.2,49.8,43107,51016,0,12986,85.4,91850,88800,80000
75763,2.1,0.5,6.2,50.8,8.2,49.2,30057,37261,0,6286,87.3,32000,58000,48700
