Zip Code,Scratcher Sales Amount,Income Per Household Amount,Population Count,Price Point,Male Population Count,Female Population Count,Asian Population Count,Black Population Count,Hawaiian Population Count,Hispanic Population Count,Indian Population Count,White Population Count,Other Population Count,Total Population,Male Population Ratio,Female Population Ratio,Asian Population Ratio,Black Population Ratio,Hawaiian Population Ratio,Hispanic Population Ratio,Indian Population Ratio,White Population Ratio,Other Population Ratio,Ticket count,Ticket Per Capita,Sales Per Capita
85022,8839700.00,51240,46395,20,22366,24029,1823,2203,133,8028,1055,39152,3485,55879,0.48207781,0.51792219,0.032624063,0.039424471,0.002380143,0.143667567,0.01888008,0.700656776,0.0623669,441985,7.909679844,158.1935969
85022,7147190.00,51240,46395,10,22366,24029,1823,2203,133,8028,1055,39152,3485,55879,0.48207781,0.51792219,0.032624063,0.039424471,0.002380143,0.143667567,0.01888008,0.700656776,0.0623669,714719,12.79047585,127.9047585
85022,5436570.00,51240,46395,5,22366,24029,1823,2203,133,8028,1055,39152,3485,55879,0.48207781,0.51792219,0.032624063,0.039424471,0.002380143,0.143667567,0.01888008,0.700656776,0.0623669,1087314,19.4583654,97.29182698
85022,2529780.00,51240,46395,30,22366,24029,1823,2203,133,8028,1055,39152,3485,55879,0.48207781,0.51792219,0.032624063,0.039424471,0.002380143,0.143667567,0.01888008,0.700656776,0.0623669,84326,1.509082124,45.27246372
85023,8294020.00,55186,31274,20,15535,15739,1324,1563,146,7717,781,24581,4056,40168,0.496738505,0.503261495,0.032961561,0.038911571,0.003634734,0.192118104,0.019443338,0.61195479,0.100975901,414701,10.32416351,206.4832703
85023,8259390.00,55186,31274,10,15535,15739,1324,1563,146,7717,781,24581,4056,40168,0.496738505,0.503261495,0.032961561,0.038911571,0.003634734,0.192118104,0.019443338,0.61195479,0.100975901,825939,20.56211412,205.6211412
85023,6926620.00,55186,31274,5,15535,15739,1324,1563,146,7717,781,24581,4056,40168,0.496738505,0.503261495,0.032961561,0.038911571,0.003634734,0.192118104,0.019443338,0.61195479,0.100975901,1385324,34.48824935,172.4412468
85023,2199090.00,55186,31274,30,15535,15739,1324,1563,146,7717,781,24581,4056,40168,0.496738505,0.503261495,0.032961561,0.038911571,0.003634734,0.192118104,0.019443338,0.61195479,0.100975901,73303,1.824910376,54.74731129
85024,8157140.00,75070,22898,20,11107,11791,1103,754,86,2565,324,20533,881,26246,0.485064198,0.514935802,0.042025451,0.028728187,0.00327669,0.097729178,0.012344738,0.782328736,0.03356702,407857,15.53977749,310.7955498
85024,6587440.00,75070,22898,10,11107,11791,1103,754,86,2565,324,20533,881,26246,0.485064198,0.514935802,0.042025451,0.028728187,0.00327669,0.097729178,0.012344738,0.782328736,0.03356702,658744,25.09883411,250.9883411
85024,4778980.00,75070,22898,5,11107,11791,1103,754,86,2565,324,20533,881,26246,0.485064198,0.514935802,0.042025451,0.028728187,0.00327669,0.097729178,0.012344738,0.782328736,0.03356702,955796,36.41682542,182.0841271
