Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75474,0.5,11.6,87.8,15047,127000,187050,273000
75479,0,3.3,93.8,1859,6000,22000,16000
75482,0.9,15.9,81.8,24802,219500,456000,477600
75489,0.6,4.8,93.7,1061,2750,4000,6000
75490,1.2,11.1,88.9,2399,16000,21000,30000
75491,0.1,4.9,86.4,5646,30000,30500,30000
75494,0.1,12.8,89.4,9931,50000,74100,65900
75495,0.2,8.9,93.3,7797,45000,65000,77000
75496,0.3,3.4,89.3,3436,30000,29000,35000
75497,0.3,16.7,98.6,3585,28000,28000,27450
75501,0.3,7.8,56.3,35692,109450,257400,271000
75503,2.2,5,74.9,25916,299000,490300,399750
75550,0.1,17.8,66.6,838,3000,4000,4000
75551,0,4.2,78.9,10867,103000,165850,169600
75554,0,3.9,94.5,1805,13000,17600,11000
75556,1.2,1.7,90.7,1044,4000,3000,5000
75559,1.1,9.3,82.7,5316,44000,53850,39000
75560,0,0,78,715,22000,24650,32000
75561,0.2,6.2,85.7,5108,18000,30050,36750
75563,2.4,4.8,81.8,4410,55000,123400,102000
75567,0.3,0.8,91.4,5191,3000,2000,4750
75568,0,2.5,79.3,2271,11000,12000,18300
75569,0,23.2,77.4,3229,6000,27000,26000
75570,1.4,11,66.5,10969,58450,81650,110000
75571,0,2.5,80.6,3189,4000,8000,5000
75572,0.2,0.6,71.8,4285,22300,85850,104850
75601,1,19,75.9,16310,212000,301800,303300
75602,0.6,29.3,56.8,22112,245300,360900,375600
75603,0.1,14,70.9,5913,78000,121350,173750
75604,1.4,20.3,76.1,30565,337600,546450,846550
75605,1.2,8.5,81.4,30721,364100,568550,674300
75630,0,3.5,87,2238,9000,31850,10750
75631,0.2,13,88.9,3137,16000,16000,19000
75633,1,9,76.9,13779,130000,182600,191550
75638,0.1,13.8,57,5908,52000,84050,56950
75640,0,1.5,96.4,5020,12000,15000,6050
75644,0.2,12.5,78.8,12579,105000,154650,193850
75647,0.6,5.2,79,12459,72100,109500,292300
75650,0.3,2.4,94.7,8858,25000,32050,125000
75651,0,1.2,83.4,2192,8000,6000,9750
75652,0.7,17,74.1,17061,77000,84000,173700
75654,0.8,18.7,81.5,12299,76000,106000,177700
75656,0,9,79.5,4601,6000,24450,15000
75657,0,5.2,69.7,8139,125300,73100,52350
75661,0,12,64.1,3043,1000,3000,4000
75662,2.4,18.7,81.5,26009,338400,618250,594350
75668,0.4,9.3,70.1,2005,14150,20950,20300
75670,0.2,22.8,51.6,17537,124250,173300,227050
75672,2.1,10.1,74.3,16252,40000,66000,50900
75681,0.1,3.5,80.4,2299,22000,61850,78000
75683,0,9.3,84.5,3811,34000,66000,47450
75684,0.2,15.7,81.1,7750,35900,44000,73250
75686,0.4,23.8,71.1,13047,54050,79000,129100
75691,0,28.3,81.3,3006,28000,40300,70850
75692,0,14.6,75.6,5078,49100,61000,65000
75693,0.3,7.3,93.5,6973,35000,66450,107350
75701,1.7,18.4,72.4,34876,301850,676700,801050
75702,0.2,48.6,52.2,28270,434300,695700,931050
75703,3.9,8.5,77.1,40868,362700,561100,695150
75704,0.5,38.6,80.4,9974,89000,159350,171250
75706,0.4,28.7,70.5,9793,174450,125600,186350
75707,2.3,13.5,88.6,14565,42000,82200,147000
75708,0.1,48,83.5,7709,100000,166350,173100
75709,4.8,10.9,62.4,5046,56000,127550,104000
75750,0,2.3,85.4,3695,22000,17000,27000
75751,2,21.6,82.1,16715,245100,331150,264850
75754,0,16,96.8,6506,38900,40850,46000
75755,0,2.5,88.1,5150,17000,13000,18800
75756,0,19.2,92.7,4873,21000,113900,86000
75757,0,7.1,89.8,12166,53100,69750,91000
75758,0.7,3.7,92,8100,171000,248800,278250
75760,0,3,86.7,2429,6000,22000,25000
75762,0.9,6.2,85.4,12986,91850,88800,80000
75763,0.5,8.2,87.3,6286,32000,58000,48700
75765,0.3,7.2,86.3,7751,12000,18750,33000
75766,0.4,32.1,79,26671,224000,356750,394200
75770,0.2,3.7,79.7,3364,5400,2000,1000
75771,1.1,5.8,91.3,21078,174000,245000,317750
75773,0,11.9,86.5,12927,60750,86500,143150
75778,0,4.8,97.3,3167,11000,41000,37050
75783,0,6.5,93,7559,95200,114900,138700
75785,1,15.1,80.7,10909,90000,138050,136500
75789,0,9.6,87.7,7501,28000,23700,28950
75790,0,16.5,92.9,4600,60000,103850,174600
75791,1.4,10.3,92.2,13268,86900,128000,146300
75792,0,16.8,75.4,2562,12000,16200,21650
75801,1.3,19.4,70.6,15615,363700,534100,415400
75803,0.2,17.3,73,22903,43000,89550,84500
75831,1.1,22.5,91.4,5746,85000,131800,138350
75833,0,5.7,89.9,3462,55000,58650,68850
75835,0.3,13.1,59.5,10924,142700,200700,177050
75839,0,12,89.2,5192,42000,46500,116650
75840,0.8,13.2,76.6,6950,86600,127750,181100
75844,0.7,5.1,83.2,6340,41000,56350,35450
75845,0,7.5,89.1,3208,10000,15000,27100
75846,0.3,21.5,96.1,2875,44000,68000,68000
75847,0,2.1,78.6,1783,7000,5000,10000
75851,0.2,13.5,69.8,4834,32800,37000,14900
75852,0.7,30,53.8,4889,4000,1000,2000
75855,0,12.3,74.7,2463,7000,11000,13000
75859,0,4,86.1,1657,7950,8000,14000
75860,0.6,20.8,83.3,6415,78250,100400,99500
75862,0.5,10.5,85.8,9863,104000,84050,82650
75901,2.1,29.7,76.5,31647,620450,826200,1029900
75904,0.7,16.5,75.1,33820,351000,485600,634950
75925,2,9.5,77.7,4099,30200,100000,146650
75929,0,4.6,97.5,1860,11000,32950,39750
75931,0,0.5,91.8,2189,6000,14000,15000
75935,0.9,23.2,80.1,13955,199000,301750,333150
75936,0.1,5.3,98.6,842,1000,10000,2000
75938,0.5,1.2,96.2,2686,14150,20850,18000
