Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population
86047,0.3,25.3,27.5,15318
86053,0,2.2,0.3,2441
86054,0,0.3,1.2,1647
86301,1.9,8.5,92.2,22147
86303,0.9,5.5,95.2,17430
86305,1.1,9.2,93.8,17956
86314,1.1,23.9,91,37997
86315,2.3,8.1,96.2,7631
86320,0,30.3,88.5,2064
86321,0,26.6,91.8,2091
86322,0.1,16.9,83.6,11723
86323,1.4,11.4,91.6,15435
86324,1.3,11.3,82.9,4316
86325,0,7.3,96.9,5280
86326,0.3,21.1,89.9,24848
86327,0.2,5.8,96.1,9571
86329,2,23.5,97.2,1125
86331,0,4.6,84.1,521
86332,0,13,93.9,1683
86333,0.9,8.2,92.2,6759
86334,1.4,31,88.8,4847
86335,0,14.4,91.8,5143
86336,2,11.7,95.3,11694
86337,0,17.2,84.5,1215
86351,0.8,10.2,93.8,6734
86401,1.8,12.3,88.2,24893
86403,0.5,18.6,92.7,17185
86404,1.2,15.1,95.9,17042
86406,1.4,10.8,94.4,23095
86409,1,11,91.9,27752
86411,0,5.3,93.1,188
86413,1.3,15.4,89.2,13010
86426,1.5,22.7,92.1,14084
86429,1.2,14.8,91.5,7708
86432,0,25,85.7,3700
86434,0.1,3.1,13.7,1572
86438,0,11.3,80.9,1002
86440,0.4,18.5,84.4,7208
86441,0,16,100,2650
86442,2,26.7,86.7,33290
86502,0.2,7.1,10.6,1332
86503,0.1,2.1,3.7,11553
86504,0,1.5,2.9,7001
86505,0.4,2.3,1.6,7880
86506,0,1.4,0.4,1208
86507,0,0.4,0.2,2481
86508,0,1.9,1.8,822
86510,2.1,2,1.5,4741
86511,1,1.8,3.6,3640
86512,2.5,3.2,5.5,2634
86514,0.2,1.7,1.5,2734
86515,0.9,6.2,5.1,4933
86520,0,1,0,1882
86535,0,0,0,1260
86538,0.1,0.1,2.5,2080
86540,0,0.2,0,1042
86544,0,0.4,1.2,1129
86545,0,0,0,1436
86547,0,0,0,1185
86556,0.4,3.7,10.2,1956
87305,0,5.5,8.6,3553
87327,1.3,1.6,2.1,9505
87328,0.2,2.1,0.9,2674
