,Zip1,Similiarity1,Prediction1,Zip2,Similiarity2,Prediction2,Zip3,Similiarity3,Prediction3,Zip4,Similiarity4,Prediction4,Zip5,Similiarity5,Prediction5,Zip6,Similiarity6,Prediction6
85041,75227,0.9945263343785128,183864.67840708577,75061.0,0.9999957121448043,623043.2986686579,78227.0,0.9999999999601696,791159.7533789891,78228,0.9999999993623143,863276.1251222523,78045,0.9999999969306407,413725.8758983077,75040,0.9999999999999353,721699.4781379964
85042,77090,0.9921408233068023,270250.1446781888,76542.0,0.9999893297036907,769205.9494475797,79904.0,0.9999999998825656,230140.75312335033,77074,0.9999999999923596,271704.84780157835,77080,0.9999999952623982,402196.50936165557,75041,0.9999999999999866,549931.7259188085
85043,77090,0.9950118343222042,230622.40947837647,75050.0,0.9999882674986488,533678.5212092805,75605.0,0.9999999998998271,705574.9731454054,79915,0.999999999630691,86530.9710291393,78573,0.9999999663769437,122948.65955231652,76086,0.9999999999999982,1151132.008874546
85044,75208,0.988220205865239,216907.31458842708,76131.0,0.9999885030127913,401230.43598816945,75238.0,0.9999999999776702,512633.62719258387,77406,0.9999999976055785,371455.38675380417,78413,0.9999999856768292,686465.5964562017,77406,0.9999999999999712,371455.38675380417
85045,78072,0.9744124942211347,1244808.0445544554,78118.0,0.9999476606346557,297268.5784567582,76640.0,0.9999999130929371,34471.235795454544,76571,0.9999990766137811,64299.166666666664,76060,0.9999985828122419,79724.25373134328,77026,0.9999999999996609,24972.970305715164
85048,75236,0.9802588657331265,205975.62291014992,76208.0,0.9999887437367982,96185.48352725567,79935.0,0.9999999998197855,61160.40955631399,76262,0.9999999996832801,444716.983324618,76065,0.9999999709666019,508786.5620716806,78213,0.9999999999999999,374211.7343411532
85050,75219,0.9819414653608959,230266.10817545216,75137.0,0.9999817105383029,504809.06313645624,76384.0,0.9999999918525211,429571.7723052079,77018,0.9999999973774135,364685.41303031385,78750,0.9999999626517684,562999.2489758761,77493,0.9999999999999325,240413.81403415155
85051,77090,0.9882184878052691,261527.32462657386,77845.0,0.9999707928572743,484595.3706815432,78745.0,0.9999999999784462,738806.6618450659,78210,0.9999999993606439,368108.3278220153,77901,0.9999999963930197,732381.411201179,77365,0.9999999999999638,491727.2113608864
85053,75208,0.9843535047904389,156921.38005976638,75081.0,0.9999585122459353,348562.80295047414,75038.0,0.999999999810719,215553.06767018346,76708,0.9999999982674297,287234.9337260677,77304,0.9999999571785204,409393.8101212882,76118,0.9999999999999343,187279.51954896434
85054,77951,0.998506133032627,40930.54881010199,76823.0,0.9999708609000412,111805.82437275986,78872.0,0.999999931315866,97767.98143851508,78266,0.9999999069518322,74956.41861844056,75860,0.9999963286210145,108930.39750584567,75051,0.9999999999999998,91632.30188955618
85083,79512,0.9911353833865748,325940.97635006957,75409.0,0.9999334041185631,155138.95431834407,78562.0,0.9999999888524373,33066.84557209075,77578,0.9999999949543694,268376.4166130071,77302,0.9999998569356817,126088.61529698099,78218,0.9999999999999932,313149.35422789963
85085,75219,0.9897003684952459,162120.74580057568,76118.0,0.9999983253654796,135965.03247947054,76520.0,0.9999999896520928,371978.65583456424,77054,0.9999999550647306,184905.1960740774,78747,0.9999998951126708,166051.1596831154,77521,0.9999999999999036,475147.8774617068
85086,78414,0.9789468695666002,449965.48261742695,79705.0,0.999942686858085,754780.7838163645,75160.0,0.9999999996680461,632263.2530120482,75703,0.9999999997402655,573690.0141920329,77339,0.9999999706240706,534839.5224983697,77373,0.9999999999997958,254633.50785340316
85087,79906,0.9796445874287848,14006.634146341463,78231.0,0.9999380084626933,174513.3325446587,77485.0,0.9999999946535475,107882.58367085908,76634,0.9999999981106771,310328.23995472555,75758,0.9999991238021164,244991.20987654323,77050,0.9999999999995817,59768.47545219638
85118,79906,0.9698184610227916,21844.09756097561,77331.0,0.9999481424923352,76253.1629059606,75791.0,0.9999999967862628,120002.41181790773,77808,0.9999999773160241,254535.71757765693,75862,0.9999942461182654,106002.02271114265,75161,0.9999999999994449,199436.30074502053
