Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income (full time),Median income(all),Native Hawaiian and Other Pacific Islander percent,Total population,White percent
85301,1.9,2.1,9.4,50.2,61.4,49.8,28750,21531,0.1,67526,76
85302,3,3.3,5.8,49.6,34.7,50.4,35858,29604,0.1,39647,77.7
85303,1.3,5.8,8.5,51.7,52.7,48.3,35965,27994,0.6,31835,69.3
85304,1.7,6.1,2.9,52.8,21.9,47.2,42191,31146,0,27365,80.1
85305,1.9,7,8.3,48.2,34.8,51.8,44943,36740,0.1,12073,72.9
85306,1,2.3,2.9,51.8,17,48.2,42440,31215,0.5,24503,87.4
85307,0.3,6.6,11.2,50.4,33.4,49.6,38061,30325,0.1,9376,64.8
85308,0.7,5.1,2.3,51.5,14.1,48.5,51693,38956,0.2,66295,85.9
85310,0.7,3.7,1.3,50.2,10.8,49.8,58345,45826,0,19252,90
85321,33,2,0,49.7,34.2,50.3,35429,20440,0,4776,57.3
85322,3.1,0.9,0.1,45.4,34.2,54.6,35870,24167,0,764,94.2
85323,1.6,2,10.8,50.6,60.7,49.4,35727,28899,0.2,42225,72.4
85324,0.6,0,0,48.5,8.4,51.5,30350,20327,0,2892,98.3
85325,0,0.5,0,47.1,0,52.9,50074,22375,0,1087,99.5
85326,1.9,1.1,8,45.8,41.1,54.2,37603,30212,0.2,58276,76.1
85331,0.4,2.3,0.5,52.3,5.9,47.7,71311,51115,0,29264,93.1
85332,2.5,0,0,47.9,7.3,52.1,31600,26354,0,1548,96.1
85333,0.7,0,0,39.9,56.9,60.1,30938,24327,0,594,63.8
85334,0,1.1,0,44.2,35.3,55.8,40813,26293,0,844,91.9
85335,1.2,1.6,8.7,50.2,47.2,49.8,37639,30959,0.2,34400,76.1
85336,0,0,0,59.6,100,40.4,25333,18333,0,502,67.5
85337,16.6,0.7,2.5,49.4,59.1,50.6,30032,27250,0.7,2611,71.1
85338,1.1,3.2,9.6,50.9,33.7,49.1,42289,35447,0.2,47588,75.2
85339,7.4,6.2,17.8,51.2,40.4,48.8,46000,36308,0.4,45040,49.8
85340,2,4.7,7.3,50.8,24.4,49.2,51422,41095,0.1,32436,79
85342,0,1.8,0,52.7,4.4,47.3,42381,30815,0,1284,94.1
85344,23.9,0.5,1.7,48.9,33.7,51.1,32370,22793,0.4,10537,60.8
85345,0.7,3,4.5,50.9,35.7,49.1,40077,30443,0.3,56473,80.3
85347,1.8,0,0,59.8,80,40.2,35194,23725,1,938,35.2
85349,0.1,0,0.1,49,99.2,51,26948,16132,0,29972,75.5
85350,3.4,0.6,1.7,44.7,86.7,55.3,28615,21342,0,22691,78.7
85351,0.2,0.9,1.8,58.7,3.2,41.3,40625,20414,0,28855,95.9
85353,1.7,1.1,7.8,51.7,72.1,48.3,37210,31253,0.7,39400,76.3
85354,2.1,0.1,0.5,46.7,30.6,53.3,38892,30325,0,7008,92.7
85355,0.1,2.1,5.4,53.7,18.1,46.3,52035,40032,0.2,11369,86.3
85356,0.6,0.9,0,50.2,43,49.8,37115,27265,0,4997,66.1
85361,0,1.8,0.6,49.3,5.1,50.7,42222,30354,0,5777,94.8
85362,0,0,1.2,57.7,6,42.3,25938,14000,0.7,669,94.3
85363,0.5,0.7,4.5,50.5,29.6,49.5,37289,26283,0.3,6625,83.1
85364,1.4,1.6,2.8,49.6,66.9,50.4,35539,23858,0.1,74299,69.6
85365,0.9,2,3.3,47.9,43.4,52.1,40715,29296,0.1,48973,70.2
85367,1.6,1.6,0.7,49.8,20,50.2,48736,34829,0.1,21018,86.7
85373,0.1,2.2,3.7,54.2,6.5,45.8,49947,35374,0,18714,91.5
85374,0.5,1.2,4.5,54,17.5,46,42762,31883,0.2,46395,89.5
85375,0.2,1.3,1.2,54.2,0.8,45.8,51493,25050,0,28133,96.5
85379,0.6,2.9,7,51.3,20.8,48.7,45967,37519,0.2,46320,81.1
85381,1,3.7,3.3,52.7,13.1,47.3,46876,37378,0.2,24968,86
85382,0.5,4.7,2.1,53.8,10.3,46.2,53482,40463,0.3,40626,87.7
85383,1,4.7,2.4,51.1,9.7,48.9,69160,51097,0.1,46118,86.7
85387,0,1.2,3.8,50.6,17.6,49.4,47126,36698,0,10829,89.8
85388,0.2,3,7.3,51.3,18.7,48.7,47690,38979,0.1,28442,80.5
85390,2.1,0.1,0.2,55.2,15.4,44.8,38525,22187,0.1,8924,95.6
85392,1.5,5,10.7,51.2,39.3,48.8,41493,33754,0.2,37710,70.7
85395,1.8,7.2,7.1,56.7,18.6,43.3,56093,42220,0.4,28364,75.8
85396,0.5,2.4,4.7,49.4,22,50.6,55960,42166,0.2,17759,86.1
85501,2.7,0.9,1.1,48.9,35.4,51.1,43023,24911,0,12657,89.3
85530,92.5,0,0,52.6,7.8,47.4,28200,19167,0,1942,2.9
85533,4,0.2,2.3,45.1,57.4,54.9,43281,31940,0,3141,90.2
85534,0.1,0,0.3,48.6,32.3,51.4,35938,28142,0,2761,98.7
85536,0,0,0,55.8,6.1,44.2,50486,35395,0,577,99
85539,0.5,2.3,0,50.1,52.4,49.9,35595,25525,0,5109,86.6
85540,7.3,0.8,3.3,46.3,48.4,53.7,57569,47111,0,3415,85.6
85541,2.8,0.5,0.6,53,6.9,47,37440,26855,0,21546,92.1
85542,91.6,0,0,54.5,9.8,45.5,31192,18606,0,3440,1.4
85543,1.7,0.1,0,50.2,31.8,49.8,44512,27266,0.2,3644,92.1
85544,3.2,0,0,45.5,4.3,54.5,46390,31910,0,2305,96.8
85546,2.3,1,3.2,44.1,39.7,55.9,39150,27448,0.2,20594,88.8
85550,88.5,2.6,0,49.8,5.1,50.2,37873,25914,0,5227,1.8
85551,0,0,0.5,48.3,79.2,51.7,23807,20662,0,424,97.4
85552,2,0.9,0.5,49.2,25.9,50.8,45321,26678,0.1,6556,92.4
85553,0,0,1.4,45.4,0.2,54.6,24759,23870,0,1683,98.5
85554,1.6,0,0,40.4,4.9,59.6,48125,30000,0,493,94.5
85602,1.6,0.2,0.7,49.3,19.7,50.7,42624,27822,1.5,9016,92.9
85603,0.5,0.4,0.8,51.3,34.5,48.7,35457,26708,0,6775,89.2
85605,0,0,0,51.9,48.9,48.1,28942,19293,0,468,79.5
85606,0,0,0,50,13.4,50,45795,28603,0,1183,92.5
85607,0.5,1.1,1.5,53.8,83.7,46.2,30092,15723,0,14428,84.7
85608,4.1,0.1,14,0,51.2,100,15815,11005,0.2,6190,80.6
85610,1.7,0.5,1.1,43.4,25.3,56.6,41161,26842,0,874,91.2
85613,2.4,5,9.9,38.1,14.8,61.9,30840,25201,0.8,5509,74.9
85614,0.4,0.6,0.6,53.5,13.3,46.5,43557,30000,0,23229,96.2
85615,0.4,0.2,0.7,52.7,23.2,47.3,50398,31654,0,9929,95.7
85616,2.8,2,4.4,55.2,21,44.8,41781,25548,0.1,5374,77.2
85617,0.9,0.5,1.9,47.6,17.6,52.4,41484,31217,0,1293,88.1
85618,3.9,0,0,43.3,65.7,56.7,32375,21597,0,1781,75.2
85620,0,0.7,0,63,87.3,37,28542,25000,0,670,76
85621,0.4,1.2,0.8,52.3,93,47.7,30324,21792,0,22290,85.7
85622,0.1,0.6,0,53.6,2.4,46.4,48750,18036,0,6330,98.7
