Zip Code,Total population
76055,2643
76058,18068
76060,7638
76063,69146
76064,1790
76065,34291
76066,3193
76067,20561
76071,4069
76073,6155
76078,10366
76082,18030
76084,8456
76085,10747
76086,22311
76087,26889
76088,11854
76092,30138
76093,1680
76102,9803
76103,13689
76104,18199
76105,21661
76106,39218
76107,30110
76108,41418
76109,22448
76110,31118
76111,22456
76112,41448
76114,25647
76115,20485
76116,49789
76117,31298
76118,16318
76119,48380
76120,19041
76123,32131
76126,21355
76131,37868
76132,26405
76133,51022
76134,26581
76135,23845
76137,60065
76140,30643
76148,23819
76155,5289
76164,16091
76177,7907
76179,57204
76180,36385
76182,31227
76201,28038
76205,20992
76207,14221
76208,23463
76209,24667
76210,44044
76225,3313
76226,25037
76227,29616
76228,1027
76230,9538
76233,3490
76234,15341
76238,400
76240,27123
76244,74414
76245,1869
76247,14009
76248,39131
76249,8516
76252,2622
76255,5369
76258,6820
76259,4890
76262,34422
76265,1806
76266,15439
76270,1797
76271,1626
76272,4256
76273,9245
76301,15632
76302,13725
76305,4264
76306,15099
76308,19361
76309,12939
76310,17720
76351,1853
76354,12085
76360,3561
76364,143
76365,4395
76366,2102
76367,14963
76371,1557
76372,1409
76374,3917
76380,3633
76384,12385
76401,29478
76424,8794
76426,12453
76427,1021
76430,2428
76431,2931
76437,5401
76442,7496
76443,2316
76444,3472
76446,8105
76448,5224
76449,2427
76450,12885
76453,1357
76454,1560
76457,4102
76458,5913
76470,3820
76471,2275
76472,1507
76475,909
76476,2718
76483,972
76486,1040
76487,2704
76501,17571
76502,38571
76504,23368
76511,2869
76513,38124
76520,8124
76522,36581
76527,3886
76528,16708
76530,2190
76531,4632
76534,2927
76537,4921
76539,8530
76541,18447
76542,50324
76543,29256
76548,29595
76549,48970
76550,12517
76554,2285
76556,1281
76557,4783
76559,5534
76567,9098
76569,2250
76570,2909
76571,7200
76574,18939
76577,3311
76578,1422
76579,4672
76621,907
76627,1612
76629,1686
76633,5346
76634,7068
76635,1219
76636,1330
76637,629
76638,3081
76639,1341
76640,2816
76642,7025
76643,14253
76645,10477
76648,2762
76649,701
76651,3232
76653,902
76655,8530
76656,2440
76657,9663
76661,8108
76664,3494
76665,2399
76667,11261
76670,1524
76671,1792
76673,1620
76678,362
76681,676
76682,2702
76687,1934
76689,3715
76690,984
76691,6524
76692,10577
76693,1604
76701,1906
76704,7825
76705,30546
76706,36680
76707,16256
76708,27160
76710,24415
76711,9671
