,Zip1,Similiarity1,Prediction1,Zip2,Similiarity2,Prediction2,Zip3,Similiarity3,Prediction3,Zip4,Similiarity4,Prediction4,Zip5,Similiarity5,Prediction5,Zip6,Similiarity6,Prediction6, MIN , MAX , Weight Avg , AVG , Median , STD , Upper Bound , Lower Bound , P1 , P2 , P3 , P4 , P5 , P6 , AVG , Flag ,,
85037,75220,0.991795821,889732.7459,75060,0.99999277,950697.0389,78251,1,1252448.994,75149,0.999999999,660737.5128,78640,0.999999988,699206.659,77015,1,703005.0866," 660,737.51 "," 1,252,448.99 "," 859,262.90 ",859304.6728,796368.9163,205479.4154,1475742.919,242866.4267,889732.7459,950697.0389,1252448.994,660737.5128,699206.659,703005.0866,859304.6728,1,,
85040,77090,0.992686305,196753.4293,75041,0.999994254,400373.3395,75056,1,245219.2174,75041,1,400373.3395,78242,0.999999985,254771.8234,78411,1,1042925.318," 196,753.43 "," 1,042,925.32 "," 423,679.38 ",423402.7445,327572.5814,287641.1523,1286326.202,0,196753.4293,400373.3395,245219.2174,400373.3395,254771.8234,1042925.318,423402.7445,1,,
85041,75227,0.994526334,183864.6784,75061,0.999995712,623043.2987,78227,1,791159.7534,78228,0.999999999,863276.1251,78045,0.999999997,413725.8759,75040,1,721699.4781," 183,864.68 "," 863,276.13 "," 599,841.00 ",599461.5349,672371.3884,234187.6176,1302024.388,0,183864.6784,623043.2987,791159.7534,863276.1251,413725.8759,721699.4781,599461.5349,1,,
85042,77090,0.992140823,270250.1447,76542,0.99998933,769205.9494,79904,1,230140.7531,77074,1,271704.8478,77080,0.999999995,402196.5094,75041,1,549931.7259," 230,140.75 "," 769,205.95 "," 415,761.63 ",415571.6551,336950.6786,191263.0633,989360.845,0,270250.1447,769205.9494,230140.7531,271704.8478,402196.5094,549931.7259,415571.6551,1,,
85043,77090,0.995011834,230622.4095,75050,0.999988267,533678.5212,75605,1,705574.9731,79915,1,86530.97103,78573,0.999999966,122948.6596,76086,1,1151132.009," 86,530.97 "," 1,151,132.01 "," 471,948.43 ",471747.9239,382150.4653,376002.6073,1599755.746,0,230622.4095,533678.5212,705574.9731,86530.97103,122948.6596,1151132.009,471747.9239,1,,
85044,75208,0.988220206,216907.3146,76131,0.999988503,401230.436,75238,1,512633.6272,77406,0.999999998,371455.3868,78413,0.999999986,686465.5965,77406,1,371455.3868," 216,907.31 "," 686,465.60 "," 427,104.02 ",426691.2913,386342.9114,144699.8946,860790.9752,0,216907.3146,401230.436,512633.6272,371455.3868,686465.5965,371455.3868,426691.2913,1,,
85045,78072,0.974412494,1244808.045,78118,0.999947661,297268.5785,76640,0.999999913,34471.2358,76571,0.999999077,64299.16667,76060,0.999998583,79724.25373,77026,1,24972.97031," 24,972.97 "," 1,244,808.04 "," 286,838.70 ",290924.0416,72011.7102,436347.9389,1599967.858,0,1244808.045,297268.5785,34471.2358,64299.16667,79724.25373,24972.97031,290924.0416,1,,
85048,75236,0.980258866,205975.6229,76208,0.999988744,96185.48353,79935,1,61160.40956,76262,1,444716.9833,76065,0.999999971,508786.5621,78213,1,374211.7343," 61,160.41 "," 508,786.56 "," 282,090.25 ",281839.466,290093.6786,171020.7959,794901.8538,0,205975.6229,96185.48353,61160.40956,444716.9833,508786.5621,374211.7343,281839.466,1,,
85050,75219,0.981941465,230266.1082,75137,0.999981711,504809.0631,76384,0.999999992,429571.7723,77018,0.999999997,364685.413,78750,0.999999963,562999.249,77493,1,240413.814," 230,266.11 "," 562,999.25 "," 389,269.11 ",388790.9033,397128.5927,124631.9825,762686.8507,14894.95584,230266.1082,504809.0631,429571.7723,364685.413,562999.249,240413.814,388790.9033,1,,
85051,77090,0.988218488,261527.3246,77845,0.999970793,484595.3707,78745,1,738806.6618,78210,0.999999999,368108.3278,77901,0.999999996,732381.4112,77365,1,491727.2114," 261,527.32 "," 738,806.66 "," 513,352.34 ",512857.7179,488161.291,175408.185,1039082.273,0,261527.3246,484595.3707,738806.6618,368108.3278,732381.4112,491727.2114,512857.7179,1,,
85053,75208,0.984353505,156921.3801,75081,0.999958512,348562.803,75038,1,215553.0677,76708,0.999999998,287234.9337,77304,0.999999957,409393.8101,76118,1,187279.5195," 156,921.38 "," 409,393.81 "," 267,779.45 ",267490.919,251394.0007,89866.51113,537090.4524,0,156921.3801,348562.803,215553.0677,287234.9337,409393.8101,187279.5195,267490.919,1,,
85054,77951,0.998506133,40930.54881,76823,0.999970861,111805.8244,78872,0.999999931,97767.98144,78266,0.999999907,74956.41862,75860,0.999996329,108930.3975,75051,1,91632.30189," 40,930.55 "," 111,805.82 "," 87,682.09 ",87670.57877,94700.14166,24146.85291,160111.1375,15230.02004,40930.54881,111805.8244,97767.98144,74956.41862,108930.3975,91632.30189,87670.57877,1,,
85083,79512,0.991135383,325940.9764,75409,0.999933404,155138.9543,78562,0.999999989,33066.84557,77578,0.999999995,268376.4166,77302,0.999999857,126088.6153,78218,1,313149.3542," 33,066.85 "," 325,940.98 "," 203,446.42 ",203626.8604,211757.6855,106928.6365,524412.7698,0,325940.9764,155138.9543,33066.84557,268376.4166,126088.6153,313149.3542,203626.8604,1,,
85085,75219,0.989700368,162120.7458,76118,0.999998325,135965.0325,76520,0.99999999,371978.6558,77054,0.999999955,184905.1961,78747,0.999999895,166051.1597,77521,1,475147.8775," 135,965.03 "," 475,147.88 "," 249,511.49 ",249361.4446,175478.1779,127527.3769,631943.5752,0,162120.7458,135965.0325,371978.6558,184905.1961,166051.1597,475147.8775,249361.4446,1,,
85086,78414,0.97894687,449965.4826,79705,0.999942687,754780.7838,75160,1,632263.253,75703,1,573690.0142,77339,0.999999971,534839.5225,77373,1,254633.5079," 254,633.51 "," 754,780.78 "," 533,653.63 ",533362.094,554264.7683,155499.635,999860.999,66863.18898,449965.4826,754780.7838,632263.253,573690.0142,534839.5225,254633.5079,533362.094,1,,
85087,79906,0.979644587,14006.63415,78231,0.999938008,174513.3325,77485,0.999999995,107882.5837,76634,0.999999998,310328.24,75758,0.999999124,244991.2099,77050,1,59768.47545," 14,006.63 "," 310,328.24 "," 152,384.29 ",151915.0793,141197.9581,103051.0983,461068.3741,0,14006.63415,174513.3325,107882.5837,310328.24,244991.2099,59768.47545,151915.0793,1,,
85118,79906,0.969818461,21844.09756,77331,0.999948142,76253.16291,75791,0.999999997,120002.4118,77808,0.999999977,254535.7176,75862,0.999994246,106002.0227,75161,1,199436.3007," 21,844.10 "," 254,535.72 "," 130,224.62 ",129678.9522,113002.2173,77019.69748,360738.0447,0,21844.09756,76253.16291,120002.4118,254535.7176,106002.0227,199436.3007,129678.9522,1,,
85119,75236,0.96455672,129476.324,79764,0.999981619,763406.0167,76048,0.999999997,325321.5973,75020,0.999999996,230104.1524,78624,0.999999465,366064.6355,75672,1,68354.20256," 68,354.20 "," 763,406.02 "," 314,881.67 ",313787.8214,277712.8749,225918.0385,991541.9368,0,129476.324,763406.0167,325321.5973,230104.1524,366064.6355,68354.20256,313787.8214,1,,
85120,77014,0.980715542,70276.86193,76513,0.99999787,636652.3883,75042,1,462925.9852,75119,0.999999998,867468.8686,76049,0.999999894,619249.3098,75501,1,220829.4688," 70,276.86 "," 867,468.87 "," 480,886.82 ",479567.1471,541087.6475,267517.9985,1282121.143,0,70276.86193,636652.3883,462925.9852,867468.8686,619249.3098,220829.4688,479567.1471,1,,
85121,78072,0.986189177,355254.5792,77363,0.999967006,54358.22551,75147,0.999999946,29927.64252,78357,0.99999996,49213.51305,78147,0.999964791,84212.05937,79788,0.999999994,499808.1023," 29,927.64 "," 499,808.10 "," 178,389.82 ",178795.687,69285.14244,181461.9751,723181.6122,0,355254.5792,54358.22551,29927.64252,49213.51305,84212.05937,499808.1023,178795.687,1,,
85122,78744,0.988664283,723137.3018,75149,0.999995937,712540.9538,75227,1,163909.5146,77521,0.999999999,1245454.661,75216,0.999999984,327602.314,77354,1,754528.6765," 163,909.51 "," 1,245,454.66 "," 654,399.00 ",654528.9036,717839.1278,345170.0294,1690038.992,0,723137.3018,712540.9538,163909.5146,1245454.661,327602.314,754528.6765,654528.9036,1,,
85123,79512,0.981771582,186949.3613,78751,0.999971007,130977.8447,78648,0.999999999,206696.1879,78834,0.999999997,150396.4211,76667,0.999999636,155627.9904,76634,1,432109.5076," 130,977.84 "," 432,109.51 "," 210,531.58 ",210459.5522,171288.6759,102165.7285,516956.7376,0,186949.3613,130977.8447,206696.1879,150396.4211,155627.9904,432109.5076,210459.5522,1,,
85128,75219,0.984166805,124289.0493,76306,0.999988248,155783.0386,76135,0.999999996,192005.5064,77575,0.999999998,252485.122,77575,0.99999988,252485.122,75852,1,6735.93782," 6,735.94 "," 252,485.12 "," 164,068.95 ",163963.9627,173894.2725,84478.79177,417400.338,0,124289.0493,155783.0386,192005.5064,252485.122,252485.122,6735.93782,163963.9627,1,,
85131,78414,0.968092173,199671.1734,78006,0.999976833,467628.6669,78382,1,478508.7802,76009,1,285366.5685,75235,0.999999718,160863.7384,75758,1,569536.9877," 160,863.74 "," 569,536.99 "," 361,120.84 ",360262.6525,376497.6177,153005.6255,819279.5291,0,199671.1734,467628.6669,478508.7802,285366.5685,160863.7384,569536.9877,360262.6525,1,,
