Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
79086,18,75.6,2283,19000,19000,17000
79087,26.6,81.9,591,7000,7300,10000
79088,10.8,74.8,5756,16000,13550,13600
79092,22.5,90.1,985,37000,33000,42000
79095,13.7,78.2,2699,15000,31000,13000
79096,15.2,77.8,2231,23000,39000,36000
79097,33.3,94.6,1037,21000,28000,35000
79101,18.9,85.5,2185,131650,203500,240000
79102,19.2,76.7,9586,150250,177650,198850
79103,8.8,79,10880,204000,288150,332350
79104,3.2,60.3,6727,27000,26000,37000
79106,23.4,86.4,27883,387950,551900,593700
79107,5.6,62,35188,160600,240450,315350
79108,10.4,78.6,16479,74000,104000,80000
79109,29.7,91.7,44211,722000,946750,1009200
79110,18.1,87.7,19242,228000,368100,309150
79118,21.1,86.7,22279,153700,222800,197250
79119,44.5,96.6,15884,85000,117000,114750
79121,42.1,93.9,6582,49000,69000,48000
79124,39.5,97,8720,148000,195000,156000
79201,18.5,83,7066,33000,68050,65100
79225,13.2,62.6,1075,4000,6000,13000
79226,18.5,90.4,2967,72000,97900,118000
79227,16.5,77.8,1454,15000,19000,24000
79233,19.7,90.1,89,29000,26000,22000
79235,18.9,73.5,3621,34000,51500,90800
79241,16.3,73,2196,4000,14000,12150
79244,17.5,91.9,753,4000,3000,9000
79245,11.8,72.9,2467,26000,30000,35000
79248,17,74.2,1442,20000,19000,21000
79252,15.1,83.2,2996,153850,161000,148000
79311,17.5,79.2,3615,3000,7000,19000
79316,12.7,68.5,11510,69000,90150,100900
79322,15.6,79,1927,18000,19850,17000
79323,15.1,68.3,7367,77000,98350,159000
79325,16.1,70.8,2492,45000,51000,88000
79329,26.8,82.2,3216,15000,4850,29000
79331,12.4,72.2,12742,187000,276650,413000
79336,12.6,76.9,17229,123000,159650,348300
79339,14.7,74.1,6624,65000,113500,71000
79343,11.9,74.1,1653,3000,3000,4000
79346,8.6,62.1,2251,33000,26000,40000
79347,15.4,70.7,7212,25550,38100,45400
79350,3.4,72.5,339,2000,9000,10050
79355,15.4,69.9,1889,24000,36000,43000
79356,9.8,56.4,6372,37000,61300,105000
79357,11.5,71.5,2260,45000,49000,62000
79358,22.1,81,1080,13000,9000,17000
79359,6.1,64.6,2900,11000,27000,35050
79360,11.1,61.3,15623,227300,516200,788400
79363,26.2,90,5799,16000,14250,15000
79364,17.3,82.7,7710,92000,142900,146000
79370,13.6,76.1,1572,6000,10000,10000
79372,22.5,76.3,1191,19000,17000,6000
79373,17.5,79.8,2903,16000,17000,17000
79382,34.5,88.3,7122,13700,20000,20800
79401,22.3,80.8,7909,113000,175150,141900
79403,7.6,68.8,17401,137750,198400,168000
79404,8,68.2,10347,145000,163250,188850
79407,28.4,89.6,21028,130000,178700,164650
79410,39.5,89.5,9583,15000,8650,13700
79411,22.6,72.3,7894,29000,77800,82000
79412,11.3,71.4,17141,119000,154000,239950
79413,31.8,88,22149,176400,217500,214000
79414,23.7,83.5,18150,72000,121700,197550
79415,16.3,72.2,17343,124700,229700,175750
79416,31.3,89.8,33302,150200,222500,196250
79423,35.5,92.7,37960,368850,634700,689400
79424,43.9,94.8,45948,371000,470550,511050
79501,18.3,79.5,2959,37000,43350,46550
79504,17.8,87.1,3157,39600,49000,42950
79505,22.8,81.9,314,4000,6000,5000
79508,29.2,94.5,1403,4000,8000,8000
79510,15.3,87.5,7056,204000,243000,287500
79511,13,86,1278,16000,14250,16000
79512,12.1,74.8,7907,105000,133100,152800
79520,13.1,85.7,2219,70900,65900,65250
79521,11.3,66.5,3795,63750,49850,69450
79525,17.4,84.2,2261,28150,42350,66000
79526,18.7,86.4,835,7000,5000,9000
79529,23.2,83.3,1378,17000,14350,20000
79536,13.2,85.7,4593,18500,56800,109000
79543,21.2,84.3,1236,2000,1350,10000
79545,23.2,80,1913,46050,52500,65000
79547,10.6,73.5,771,4000,1000,3000
79549,16.4,77.4,16236,107400,134700,194450
79553,15.7,82.2,3279,51900,44250,47200
79556,11.5,80.2,12915,300250,211000,228900
79562,33.4,98,3805,10000,14000,24600
79563,8.8,81.9,1052,82650,64000,67000
79567,19.3,70.3,3517,15000,47000,55800
79601,17.8,80.3,28041,196000,364600,489050
79602,27.8,87.6,24027,191150,260050,272900
79603,13.9,77.3,23577,119000,209600,187050
79605,21,87.7,29672,575750,749900,789350
79606,31.4,93.8,23929,459250,618050,585950
79701,15.8,68.2,29315,1375000,2416100,2758550
79703,12.6,79.6,23083,401800,670900,626050
79705,35.2,87.5,39818,521000,719250,862550
79706,16,82.5,25344,532000,937150,1094000
79707,38.8,92.8,38489,564900,1068050,1073850
79714,9.8,74.6,17577,190000,433700,884650
79718,21.3,79.3,894,20000,64850,82000
79720,13.1,79.8,35231,870300,1285250,1620750
79731,11.5,73.6,4767,75000,90050,121850
79734,35.8,79.7,2129,17000,30750,42000
79735,8.3,68.9,13383,369000,510550,551100
79739,23.2,71.4,1149,31000,49700,35000
79742,13.2,67.5,494,19000,28000,43000
79744,22,82.6,1466,82000,74100,57000
79745,9.3,68.1,6842,167000,308000,411000
79752,12.4,78.7,2473,50000,66200,60000
79756,14.3,80.4,9622,341000,683050,1085250
79761,13.5,73,33922,514650,1046150,1096550
79762,22.7,84.3,44014,864000,1210500,1402300
79763,8.8,66.5,37282,478850,816800,1081900
79764,5.6,67.7,22105,433000,773200,867250
79765,37,90.3,13451,370000,744700,890850
79766,8.5,63.5,6519,144000,198000,256150
79772,8.8,61.1,13569,371000,899900,1012550
79778,7.6,79.7,903,24000,29000,29000
79782,19.5,76.6,4521,47000,101850,130000
79788,3.7,81.3,469,58000,135000,110000
79789,17.3,80.5,908,30000,62000,55000
79821,12.2,75.7,7269,66000,91050,82650
79830,35.9,84.7,7802,71000,115200,168050
79835,12.9,59.8,11835,6000,5000,13000
79836,12.6,67.7,5889,22000,27000,32000
79838,3.6,49.6,6719,6000,11000,12000
79843,34.4,75.1,2298,19000,20000,32000
79845,13.9,42.2,4785,16000,24000,26050
79855,8.7,62.6,2208,88600,159850,203000
79901,3.1,36.1,10284,16850,14950,20000
79902,31.4,75.3,20123,26050,33050,38000
79903,15.5,65.6,16495,47000,69850,63950
79904,14.7,77.2,34098,169000,175650,232350
79905,7.2,57.1,23108,18350,45100,65600
79906,34.3,95.4,5125,6000,9000,15000
79907,10.2,65.8,53505,70000,87500,146000
79912,48.3,89.5,81159,128000,209000,236550
79915,9.8,64.4,35622,49000,80850,109000
79922,48.8,89.2,8528,27000,52800,37000
79924,16.5,79,59587,255650,505050,585550
79925,24,86.4,39455,207000,399400,515600
79927,5.8,59,41162,50000,72000,72000
79928,18.1,77.2,56851,61000,127000,90000
79930,17.9,70.3,28324,30000,54000,68800
79932,34,84.6,28345,52000,103200,84450
79934,34.7,91.8,25846,15000,34000,53600
79935,23.1,82.2,18166,25000,32000,59000
79936,24.1,85.7,111918,191300,287850,292900
79938,23.4,81.8,77487,137000,197000,225950
