Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75976,14.2,73.1,806,19000,22000,15000
75979,13.1,82,12384,73000,122000,111750
75980,4.9,80.3,2500,44000,29000,49000
76001,34.9,89,31829,39000,43700,78750
76002,33.8,88.9,36569,141000,263800,289750
76006,40.4,93.4,23259,181000,247950,321300
76008,52.5,97.3,16334,44000,56400,45850
76009,9.2,75.5,21049,154700,323950,415200
76010,9.5,59.1,57813,321400,504300,574700
76011,22.7,78.5,22953,188700,296050,367100
76012,37.9,89.3,26571,185000,302200,399600
76013,38.9,93.3,33169,192400,310250,369300
76014,14.7,78.3,35235,191250,338550,444000
76015,25.7,84.3,16464,250200,432650,587900
76016,43,94,30808,265000,384850,407250
76017,34.5,93.7,47010,477150,667050,867700
76018,25.5,85.4,31416,320800,558350,567100
76020,19.6,89.3,27714,238000,430850,437100
76021,40.4,94.8,35903,648750,517150,494550
76022,29.2,93.9,13059,50650,100150,112750
76023,18.3,87.2,5930,67000,102000,94600
76028,25,91.4,67388,548300,1050300,1203400
76031,14.8,79.5,18050,209750,267300,324000
76033,21.5,82.8,25190,353400,553950,769200
76034,65.8,98.5,25557,145000,154000,136000
76035,37.6,89,1466,43000,39000,56000
76036,23.5,89.6,25736,294500,530250,657900
76039,37.3,91.8,33750,366050,490550,565050
76040,26.9,86.7,32301,217850,258100,303450
76043,16.6,83.2,7509,291000,234600,431200
76044,16,87.8,3799,38300,37950,46350
76048,21.6,85.9,23702,270000,353300,436950
76049,29.4,90.9,27889,370100,564000,704600
76050,18.9,90.4,5747,36000,29000,25000
76051,45.4,91.7,51685,423250,543100,725900
76052,35,94.5,20779,70000,67000,99000
76053,22.8,83.3,30567,157050,275150,461650
76054,41.3,95.6,11948,132000,170750,186050
76055,15.4,77.5,2643,30000,82000,103450
76058,11.9,80.9,18068,132850,175150,208800
76060,30,83.9,7638,60000,81550,96050
76063,41.3,94.3,69146,448000,877150,1300400
76064,15.7,90,1790,13000,33000,26000
76065,29.8,93.8,34291,344100,502500,750550
